OBJECTID,Id,ORIG_FID,Name,x,y,distance
141,0,0, ,565743.4736,6092687.046,4230
142,0,0, ,565773.4614,6092687.903,4260
143,0,0, ,565803.4491,6092688.759,4290
144,0,0, ,565833.4369,6092689.616,4320
145,0,0, ,565863.4247,6092690.473,4350
146,0,0, ,565893.4124,6092691.33,4380
147,0,0, ,565923.4002,6092692.187,4410
148,0,0, ,565953.388,6092693.043,4440
149,0,0, ,565983.3757,6092693.9,4470
150,0,0, ,566013.3635,6092694.757,4500
151,0,0, ,566043.3513,6092695.614,4530
152,0,0, ,566073.339,6092696.471,4560
153,0,0, ,566103.3268,6092697.327,4590
154,0,0, ,566133.3146,6092698.184,4620
155,0,0, ,566163.3022,6092699.041,4650
156,0,0, ,566193.29,6092699.898,4680
157,0,0, ,566223.2778,6092700.754,4710
158,0,0, ,566253.2655,6092701.611,4740
159,0,0, ,566283.2533,6092702.468,4770
160,0,0, ,566313.2411,6092703.325,4800
161,0,0, ,566343.2288,6092704.182,4830
162,0,0, ,566373.2166,6092705.038,4860
163,0,0, ,566403.2044,6092705.895,4890
164,0,0, ,566433.1921,6092706.752,4920
165,0,0, ,566463.1799,6092707.609,4950
166,0,0, ,566493.1677,6092708.466,4980
167,0,0, ,566523.1554,6092709.322,5010
168,0,0, ,566553.1432,6092710.179,5040
169,0,0, ,566583.131,6092711.036,5070
170,0,0, ,566613.1187,6092711.893,5100
171,0,0, ,566643.1065,6092712.75,5130
172,0,0, ,566673.0943,6092713.606,5160
173,0,0, ,566703.082,6092714.463,5190
174,0,0, ,566733.0698,6092715.32,5220
175,0,0, ,566763.0575,6092716.177,5250
176,0,0, ,566793.0452,6092717.034,5280
177,0,0, ,566823.033,6092717.89,5310
178,0,0, ,566853.0208,6092718.747,5340
179,0,0, ,566883.0086,6092719.604,5370
180,0,0, ,566912.9963,6092720.461,5400
181,0,0, ,566942.9841,6092721.317,5430
182,0,0, ,566972.9719,6092722.174,5460
183,0,0, ,567002.9596,6092723.031,5490
184,0,0, ,567032.9474,6092723.888,5520
185,0,0, ,567062.9352,6092724.745,5550
186,0,0, ,567092.9229,6092725.601,5580
187,0,0, ,567122.9107,6092726.458,5610
188,0,0, ,567152.8985,6092727.315,5640
189,0,0, ,567182.8862,6092728.172,5670
190,0,0, ,567212.874,6092729.029,5700
191,0,0, ,567242.8618,6092729.885,5730
192,0,0, ,567272.8495,6092730.742,5760
193,0,0, ,567302.8373,6092731.599,5790
194,0,0, ,567332.8251,6092732.456,5820
